Movie_ID,Title,Genre,Release_Year,Duration,Rating,IMDb_Rating,Votes,Director,Country,Language,Budget,Revenue,Date_Added,Age_Rating,Cast,Production_House
NF2602,Little Women,Animation,1996,193,4.7,9.5,317073,Patty Jenkins,Japan,Hindi,,1505957457.0,2015-10-14,R,"Leonardo DiCaprio, Jodie Foster",Pixar Animation Studios
NF3430,The White Tiger,Animation,2007,87,8.4,4.0,123876,Jane Campion,United States,Korean,210868644.0,687371362.0,2022-06-20,R,"Sandra Bullock, Robert De Niro, Ryan Reynolds, Denzel Washington",Netflix Originals
NF5757,His House,Romance,1993,117,7.4,3.4,1558685,Spike Lee,India,Korean,100147805.0,478302873.0,2018-01-20,G,"Robert Downey Jr., Meryl Streep, Michael B. Jordan",Paramount Pictures
NF8495,Roma,Thriller,2004,160,7.6,7.0,46529,,France,Korean,95587293.0,1295144836.0,2021-01-03,G,,New Line Cinema
NF7790,Fear Street Part Three 1666,Romance,2016,113,5.0,5.7,682718,,South Korea,French,8921122.0,687779882.0,2021-12-08,PG-13,"Timothée Chalamet, Oscar Isaac, Cate Blanchett, Robert De Niro",Lionsgate
NF6121,Another Round,Drama,2021,171,7.9,9.2,1654897,,Germany,German,41690405.0,1810444899.0,2021-12-09,PG-13,"Leonardo DiCaprio, Jodie Foster",Columbia Pictures
NF7247,Outer Banks,Romance,2012,115,6.7,5.7,1357429,James Cameron,United Kingdom,English,16376937.0,205163907.0,2017-01-17,TV-MA,"Dwayne Johnson, Tom Hanks, Lupita Nyong'o",20th Century Studios
NF3818,Space Jam A New Legacy,Romance,2004,151,8.0,5.1,390573,Spike Lee,Italy,Korean,240959175.0,342016702.0,2017-06-01,NC-17,"Ryan Reynolds, Julia Roberts, Timothée Chalamet, Cate Blanchett",Paramount Pictures
NF6878,Candyman,Comedy,2022,78,4.6,6.8,713811,David Lynch,India,Spanish,249240908.0,1715911275.0,2022-02-04,PG,"Meryl Streep, Angelina Jolie, Jodie Foster, Robert De Niro",Blumhouse Productions
NF9486,The Lost Daughter,Comedy,2024,122,6.3,6.9,1024666,Patty Jenkins,Japan,Italian,102825070.0,,2020-11-22,NC-17,"Al Pacino, Tom Hanks, Lupita Nyong'o",Apple TV+
NF8931,Hubie Halloween,Horror,2023,80,8.9,6.9,657879,Quentin Tarantino,United States,Japanese,144854836.0,,2021-12-17,PG-13,"Lupita Nyong'o, Meryl Streep, Will Smith, Angelina Jolie",20th Century Studios
NF6712,Greyhound,Action,1994,70,7.1,5.5,1109056,Stanley Kubrick,South Korea,Japanese,175159202.0,1654914040.0,2018-05-07,NC-17,"Ana de Armas, Tom Hanks",Warner Bros.
NF2309,Flee,Adventure,2014,144,6.3,3.2,1155009,Wong Kar-wai,Germany,French,,364760465.0,2020-10-01,R,"Margot Robbie, Meryl Streep, Brad Pitt, Sandra Bullock",Apple TV+
